NAME,AFFGEOID,FIPS3,ALAND,AWATER,TotPop,Births,Deaths,NetMigrt,NatInc,MedHInc,TotVote,PCTOBM,PCTROM,PCTOTH,Winner,TotU18,Tot18_64,TotOv65,TotMale,TotFemale,TotOv25,NumHS,NumBach,Hisp,NumPov,PctPov,CentX,CentY,Region
Moffat,0500000US08081,8081,12284800386,19803413,12923,193,94,-66,99,50123,6050,21.9834711,77.6033058,0.004132231,Romney,3373,8134,1509,6826,6190,8527,3252,1231,1801,1516,0.117310222,228641.8038,4501380.47,WestSlope
Montezuma,0500000US08083,8083,5255909595,27403242,26139,329,246,255,83,43431,11976,37.9258517,61.7985972,0.002755511,Romney,5725,15095,4403,12431,12792,17653,5106,4694,2959,4636,0.177359501,181318.9969,4138488.775,WestSlope
Montrose,0500000US08085,8085,5804077510,4923261,40911,454,457,52,-3,44885,19766,31.0533239,68.5621775,0.003844986,Romney,9335,23170,7795,19775,20525,28281,8915,6978,8029,6915,0.169025445,214409.0597,4255562.598,WestSlope
Morgan,0500000US08087,8087,3316439900,34663099,28275,454,262,-80,192,46223,10565,37.0279224,62.4893516,0.00482726,Romney,7601,16115,3938,13631,14023,17578,5501,2496,9647,3404,0.120389036,601210.5666,4457572.319,GreatPlain
Otero,0500000US08089,8089,3268485050,20052339,18288,193,241,-87,-48,32594,8067,45.2088757,54.3200694,0.004710549,Romney,4325,10415,3302,8913,9129,12270,3359,1910,7426,4661,0.254866579,612836.2705,4195770.226,GreatPlain
Ouray,0500000US08091,8091,1402657135,1599543,4658,21,29,74,-8,60701,3138,52.4537922,47.195666,0.003505417,Obama,620,2773,1128,2224,2297,3640,721,1820,270,334,0.071704594,257370.9979,4226679.077,WestSlope
Park,0500000US08093,8093,5682126654,43530449,16659,115,90,322,25,60800,9148,42.216878,57.2365544,0.005465676,Romney,2847,10950,2258,8412,7643,12363,3180,3932,838,1329,0.079776697,438017.7942,4330202.523,FrontRange
Phillips,0500000US08095,8095,1781724991,301808,4331,57,55,-51,2,44390,2229,26.3795424,73.4410049,0.001794527,Romney,1123,2390,804,2227,2090,2794,840,519,1088,802,0.185176634,723602.887,4497046.345,GreatPlain
Pitkin,0500000US08097,8097,2514046292,6472574,17845,127,54,150,73,71060,9880,69.3218623,30.6072874,0.000708502,Obama,2865,11870,2496,9166,8065,13472,1448,7605,1649,1515,0.08489773,334547.4252,4342634.501,Mountain
Prowers,0500000US08099,8099,4243420040,15352639,11893,165,127,-149,38,35408,4762,31.898362,67.8286434,0.002729945,Romney,3273,6924,1796,5924,6069,7730,2167,1082,4376,2618,0.220129488,729018.2528,4204021.392,GreatPlain
Pueblo,0500000US08101,8101,6179911297,30284241,163348,1874,1737,1423,137,41974,74688,56.9716688,42.7029777,0.003253535,Obama,37456,93688,24857,76644,79357,103971,29979,22765,65722,30102,0.184281411,542689.1929,4225159.911,FrontRange
Rio Blanco,0500000US08103,8103,8342320873,4868111,6459,83,53,-194,30,63910,3307,17.1756879,82.3707288,0.004535833,Romney,1592,4011,860,3304,3159,4390,1520,926,661,1085,0.16798266,225194.7982,4430578.519,WestSlope
Rio Grande,0500000US08105,8105,2361939881,984917,11475,127,130,-102,-3,38673,5422,45.7026927,53.8177794,0.004795278,Romney,2768,6815,1896,5748,5731,7718,2283,1632,4961,2311,0.201394336,377869.8993,4160399.087,WestSlope
Routt,0500000US08107,8107,6117617719,15831744,24103,214,100,137,114,61095,13035,57.897967,41.9562716,0.001457614,Obama,4677,16124,2319,12130,10990,16590,3048,8104,1532,2397,0.099448201,331263.0926,4483402.025,WestSlope
Saguache,0500000US08109,8109,8207137045,4454510,6258,78,60,46,18,33398,2838,65.6800564,33.9675828,0.003523608,Obama,1382,3801,989,3140,3032,4311,1071,1118,2415,1547,0.247203579,387659.1941,4215551.588,Mountain
San Juan,0500000US08111,8111,1003638261,2035929,705,6,6,-16,0,37679,481,55.3014553,44.0748441,0.006237006,Obama,65,494,94,370,283,517,153,140,142,108,0.153191489,264259.8316,4183003.47,WestSlope
San Miguel,0500000US08113,8113,3332711756,5204095,7859,68,22,43,46,59490,4158,71.957672,27.7537278,0.002886003,Obama,1452,5439,677,3975,3593,5639,912,3082,705,787,0.100139967,200960.0081,4211760.677,WestSlope
Sedgwick,0500000US08115,8115,1419419282,3530746,2376,24,54,70,-30,43864,1305,32.1072797,67.5095785,0.003831418,Romney,464,1328,530,1119,1203,1647,558,312,403,362,0.152356902,723145.9657,4528365.937,GreatPlain
Summit,0500000US08117,8117,1575579877,28287709,30299,271,68,645,203,64521,14943,62.5510272,37.2816703,0.001673024,Obama,4754,20923,2692,15442,12927,20818,3357,10060,4105,4003,0.132116572,404226.8129,4387730.103,Mountain
Teller,0500000US08119,8119,1442748659,4944578,23461,192,181,52,11,62559,13078,33.1319774,66.5392262,0.003287965,Romney,4519,14910,3680,11634,11475,17189,4367,5373,1298,1664,0.070926218,485975.7962,4303687.863,FrontRange
Washington,0500000US08121,8121,6521814069,15207400,4839,47,50,75,-3,44271,2554,18.3241973,81.28426,0.003915427,Romney,997,2551,939,2253,2234,3158,1093,583,358,580,0.119859475,653580.6838,4426018.343,GreatPlain
Weld,0500000US08123,8123,10326656276,76677079,284876,4083,1727,6431,2356,58100,113308,43.2890881,56.2846401,0.004262718,Romney,71264,159877,26940,129205,128876,162724,44003,42473,74093,34898,0.122502422,551336.77,4489456.536,GreatPlain
Yuma,0500000US08125,8125,6123752021,11134666,10125,142,97,-163,45,43279,4495,21.9577308,77.6418242,0.004004449,Romney,2684,5680,1603,4782,5185,6560,2221,1212,2142,1012,0.099950617,719871.3411,4431184.741,GreatPlain
